2024-04-21 18:03:22.169: Namespace(name='usps', cuda=True, n_z=10, alpha=0.1, beta=0.05, lr=0.001, n_clusters=10, n_input=256)				
2024-04-21 18:03:22.169: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 18:04:40.803: epoch231 Q1:	0.7922	0.7809	0.7136	0.7589
2024-04-21 18:04:41.174: epoch232 Q1:	0.7929	0.7834	0.7156	0.76
2024-04-21 18:04:41.550: epoch233 Q1:	0.7928	0.7814	0.7148	0.7591
2024-04-21 18:04:41.863: epoch234 Q1:	0.7932	0.7828	0.7155	0.7601
2024-04-21 18:04:42.240: epoch235 Q1:	0.7938	0.7831	0.716	0.7605
2024-04-21 18:04:42.617: epoch236 Q1:	0.7931	0.782	0.715	0.7597
2024-04-21 18:04:42.928: epoch237 Q1:	0.7936	0.7829	0.716	0.7603
2024-04-21 18:04:43.242: epoch238 Q1:	0.7939	0.7831	0.7162	0.7604
2024-04-21 18:04:43.617: epoch239 Q1:	0.7945	0.784	0.7171	0.7613
2024-04-21 18:04:43.995: epoch240 Q1:	0.7947	0.784	0.7173	0.761
2024-04-21 18:04:44.369: epoch241 Q1:	0.7941	0.7833	0.7165	0.7607
2024-04-21 18:04:44.681: epoch242 Q1:	0.7948	0.7845	0.7174	0.7615
2024-04-21 18:04:45.055: epoch243 Q1:	0.7948	0.7843	0.7173	0.7616
2024-04-21 18:04:45.434: epoch244 Q1:	0.7957	0.7852	0.7186	0.7622
2024-04-21 18:04:45.809: epoch245 Q1:	0.7952	0.7845	0.7176	0.7617
2024-04-21 18:04:46.122: epoch246 Q1:	0.7952	0.7842	0.7177	0.7618
2024-04-21 18:04:46.433: epoch247 Q1:	0.7959	0.7845	0.7182	0.7621
2024-04-21 18:04:46.809: epoch248 Q1:	0.7957	0.7851	0.7183	0.7623
2024-04-21 18:04:47.122: epoch249 Q1:	0.7963	0.7844	0.7186	0.7623
2024-04-21 18:04:47.499: epoch250 Q1:	0.7962	0.785	0.7187	0.7625
2024-04-21 18:04:47.813: epoch251 Q1:	0.7969	0.785	0.7193	0.7629
2024-04-21 18:04:48.187: epoch252 Q1:	0.7968	0.7862	0.72	0.763
2024-04-21 18:04:48.501: epoch253 Q1:	0.7972	0.785	0.7193	0.7628
2024-04-21 18:04:48.874: epoch254 Q1:	0.7958	0.7859	0.719	0.7628
2024-04-21 18:04:49.186: epoch255 Q1:	0.7979	0.7856	0.7205	0.7635
2024-04-21 18:04:49.563: epoch256 Q1:	0.7969	0.7858	0.7197	0.7632
2024-04-21 18:04:49.873: epoch257 Q1:	0.7981	0.787	0.7215	0.7639
2024-04-21 18:04:50.250: epoch258 Q1:	0.7977	0.7864	0.7206	0.7637
2024-04-21 18:04:50.563: epoch259 Q1:	0.7985	0.7872	0.7217	0.7642
2024-04-21 18:04:50.941: epoch260 Q1:	0.7968	0.787	0.7201	0.7637
2024-04-21 18:04:51.252: epoch261 Q1:	0.7987	0.7864	0.7214	0.764
2024-04-21 18:04:51.630: epoch262 Q1:	0.7969	0.7874	0.7208	0.764
2024-04-21 18:04:51.945: epoch263 Q1:	0.7983	0.7872	0.7215	0.7643
2024-04-21 18:04:52.258: epoch264 Q1:	0.7996	0.7881	0.723	0.7653
2024-04-21 18:04:52.634: epoch265 Q1:	0.7978	0.7878	0.7213	0.7645
2024-04-21 18:04:52.947: epoch266 Q1:	0.7992	0.7876	0.7226	0.7649
2024-04-21 18:04:53.261: epoch267 Q1:	0.7994	0.7886	0.7229	0.7655
2024-04-21 18:04:53.574: epoch268 Q1:	0.7988	0.7878	0.7222	0.7648
2024-04-21 18:04:53.886: epoch269 Q1:	0.8	0.7885	0.7235	0.7657
2024-04-21 18:04:54.263: epoch270 Q1:	0.7994	0.7886	0.7229	0.7656
2024-04-21 18:04:54.575: epoch271 Q1:	0.7994	0.7883	0.7229	0.7653
2024-04-21 18:04:54.887: epoch272 Q1:	0.8001	0.7891	0.7237	0.7659
2024-04-21 18:04:55.264: epoch273 Q1:	0.7992	0.7881	0.7226	0.7653
2024-04-21 18:04:55.577: epoch274 Q1:	0.8	0.789	0.7237	0.7659
2024-04-21 18:04:55.889: epoch275 Q1:	0.7997	0.7882	0.723	0.7655
2024-04-21 18:04:56.202: epoch276 Q1:	0.7996	0.7887	0.7232	0.7656
2024-04-21 18:04:56.514: epoch277 Q1:	0.8005	0.7892	0.7241	0.7661
2024-04-21 18:04:56.891: epoch278 Q1:	0.8	0.7896	0.7238	0.7661
2024-04-21 18:04:57.203: epoch279 Q1:	0.8006	0.7881	0.7235	0.7658
2024-04-21 18:04:57.580: epoch280 Q1:	0.8004	0.7906	0.7247	0.767
2024-04-21 18:04:57.891: epoch281 Q1:	0.802	0.7893	0.7253	0.7667
2024-04-21 18:04:58.267: epoch282 Q1:	0.8007	0.7903	0.7248	0.767
2024-04-21 18:04:58.582: epoch283 Q1:	0.8016	0.7907	0.7257	0.7675
2024-04-21 18:04:58.895: epoch284 Q1:	0.8003	0.7893	0.724	0.7662
2024-04-21 18:04:59.208: epoch285 Q1:	0.8	0.7893	0.7236	0.766
2024-04-21 18:04:59.523: epoch286 Q1:	0.8011	0.79	0.7253	0.7672
2024-04-21 18:04:59.836: epoch287 Q1:	0.8008	0.7898	0.7246	0.7672
2024-04-21 18:05:00.151: epoch288 Q1:	0.8007	0.7903	0.7247	0.7666
2024-04-21 18:05:00.464: epoch289 Q1:	0.8019	0.7912	0.7263	0.7679
2024-04-21 18:05:00.778: epoch290 Q1:	0.8017	0.791	0.7259	0.7681
2024-04-21 18:05:01.090: epoch291 Q1:	0.8016	0.7907	0.7257	0.7675
2024-04-21 18:05:01.404: epoch292 Q1:	0.8019	0.7912	0.7263	0.7681
2024-04-21 18:05:01.719: epoch293 Q1:	0.8018	0.7909	0.7257	0.7681
2024-04-21 18:05:02.031: epoch294 Q1:	0.8019	0.7908	0.726	0.7679
